id,name,proposal_count,git_repo,local_path,description,last_update
PRJ-20260424-001,OpenMAIC,1,https://github.com/YeLuo45/OpenMAIC,https://yeluo45.github.io/OpenMAIC,Open Multi-Agent Interactive Classroom — 开放式多智能体交互课堂；forked from THU-MAIC/OpenMAIC (16311 stars)；pnpm + Next.js 16；需配置 LLM API Key 使用,2026-04-24
PRJ-20260424-004,match3-puzzle,1,https://github.com/YeLuo45/match3-puzzle,https://yeluo45.github.io/match3-puzzle,休闲益智三消游戏原型,2026-04-24
PRJ-20260426-003,calculator-app,1,https://github.com/YeLuo45/calculator-app.git,https://yeluo45.github.io/calculator-app,面向大众市场 APK；功能：科学计算 + 单位转换 + 汇率换算（Web 已交付，APK 因 NDK 损坏阻塞）,2026-04-26
PRJ-20260427-001,preschool-puzzle,2,https://github.com/YeLuo45/preschool-puzzle,https://yeluo45.github.io/preschool-puzzle,幼儿益智解谜游戏,2026-05-10
PRJ-20260428-002,flight-chess-3d,8,https://github.com/YeLuo45/flight-chess-3d,https://yeluo45.github.io/flight-chess-3d,AI三种难度（Easy随机/Medium策略/Hard最优）；自动投骰+选子；可选纯AI对战或混合模式；原人类模式不受影响；已实现难度选择UI和AI Thinking动画,2026-05-10
PRJ-20260428-001,whack-a-mole-3d,6,https://github.com/YeLuo45/whack-a-mole-3d,https://yeluo45.github.io/whack-a-mole-3d,Web Audio API合成音效+震动反馈+音效开关；技术方案联合P-003/P-004；已验收通过（README.md记录）。AudioManager（10种Web Audio API合成音效）+ Navigator.vibrate + 音效开关 + 音效调用链路（beat/miss/click/levelup）已全部接入。,2026-05-01
PRJ-20260430-001,tower-baby-guard,1,https://github.com/YeLuo45/tower-baby-guard,https://yeluo45.github.io/tower-baby-guard,育儿主题塔防；5种防御塔(Mom/Dad/Grandma/Doctor/Chef)+4种敌人(Tantrum/Bedtime/Veggie/ScreenTime)+10波次；Godot 4 HTML5导出,2026-04-30
PRJ-20260430-002,doc-editor,1,https://github.com/YeLuo45/doc-editor,https://yeluo45.github.io/doc-editor,顶部搜索框实时搜索文档标题和内容(300ms防抖)，显示标题+内容片段+文件夹，最多10条结果，点击跳转,2026-04-30
PRJ-20250416-001,todolist,11,https://github.com/YeLuo45/todo-list,https://yeluo45.github.io/todo-list,甘特图时间线视图 + 循环任务自动生成下一周期,2026-05-10
PRJ-20250416-002,game-1024,6,https://github.com/YeLuo45/game-1024,https://yeluo45.github.io/game-1024,每日挑战(固定初始盘面+得分排名)+10个成就(解锁弹窗+奖励)；参考3D打地鼠V4实现,2026-05-10
PRJ-20260421-001,card-game-prototype,30,https://github.com/YeLuo45/card-game-prototype,https://yeluo45.github.io/card-game-prototype,卡牌等级升级(Lv1-Lv5倍率：1.15/1.30/1.50/1.75x)+星级升级(1-3星解锁效果)；⚡强化按钮入口；等级费用(2/3/5/8张同名卡)；星级费用(3/5张同名卡)；UI显示星级符号(★☆)和等级(Lv.N)；边框颜色按等级变化；升级数据持久化到localStorage,2026-05-10
PRJ-20250418-003,harness-desktop,2,https://github.com/YeLuo45/harness-desktop,https://yeluo45.github.io/harness-desktop,v2 迭代已完成交付：①Sub Agent（共享KV Cache + 任务队列 + 依赖管理）②Verification Hooks后台分类器（strict/loose/disabled三档 + auto-retry）③4个新工具（edit_code/project_tree/web_search/task_plan）；llmBridge.ts MVP_TOOLS→V2_TOOLS 已修复；Vite build成功；electron-builder打包受限WSL环境（需Windows本机执行）,2026-05-10
PRJ-20260417-001,prj-proposals-manager,2,https://github.com/YeLuo45/prj-proposals-manager,https://yeluo45.github.io/prj-proposals-manager,提案管理系统；完整CRUD；GitHub API操作JSON数据；已与提案管理系统单向同步；仓库已于2026-05-03从 proposals-manager 更名为 prj-proposals-manager,2026-05-03
PRJ-20260418-002,creative-drawing-board,40,https://github.com/YeLuo45/creative-drawing-board,https://yeluo45.github.io/creative-drawing-board,P0学习记录系统(localStorage统计+12成就徽章+画廊)+P1贴纸编辑(选中/拖拽/缩放/旋转/层级)；V3 2401行→V4 3547行,2026-05-10
PRJ-20260420-001,snake-battle,4,https://github.com/YeLuo45/snake-battle,https://yeluo45.github.io/snake-battle,M1成就系统(100+成就/4分类/解锁称号头像框)+M2赛季通行证(30天/50级/免费付费区分)+M3每日挑战(每天3个随机/00:00刷新)+继承V1-V3全部功能；dev于2026-05-03交付；M1: AchievementPanel+useAchievements+achievements.js(123成就)；M2: SeasonPassPanel+useSeasonPass+seasonPass.js；M3: DailyChallengePanel+useDailyChallenge+challenges.js(23类型),2026-05-10
PRJ-20260412-008,ai-subscription,19,https://github.com/YeLuo45/ai-subscription,https://yeluo45.github.io/ai-subscription,规则引擎：触发器(keyword/sentiment/source)+动作(add_tag/Telegram/Webhook/星标)，WorkflowEngine异步执行,2026-05-10
proposals,proposals,0,,,ai-subscription-大模型调用层升级-llm-design-dev,2026-05-10
PRJ-20260420-002,pixel-pal-web,4,https://github.com/YeLuo45/pixel-pal-web,https://yeluo45.github.io/pixel-pal-web,"V64 agentExecutor: LLM任务分解+步骤执行+回调；AgentPanel绑定executor；TaskQueue IndexedDB持久化恢复；Sidebar导航已接入；build ✓, master已push ✓",2026-05-09
PRJ-20260511-003,astrbot-design,1,https://github.com/Sonic-Yoda/AstrBot,,AstrBot 设计文档项目，基于 Sonic-Yoda/AstrBot 多功能机器人框架；包含LLM集成、插件系统、任务调度等模块分析,2026-05-11
PRJ-20260511-004,autoagent-design,1,https://github.com/SINOG2/AutoAgent,,AutoAgent 设计文档项目，基于 SINOG2/AutoAgent 自动Agent框架；包含规划引擎、工具调用、多Agent协作等模块分析,2026-05-11
PRJ-20260511-005,bmad-method-design,1,https://github.com/BMAD/BMAD-METHOD,,BMAD-METHOD 设计文档项目，基于 BMAD/BMAD-METHOD AI学习框架；包含主动学习、人机协作、模型优化等模块分析,2026-05-11
PRJ-20260511-006,chatdev-design,1,https://github.com/OpenBMB/ChatDev,,ChatDev 设计文档项目，基于 OpenBMB/ChatDev 虚拟软件公司框架；包含多Agent角色、流程管理、协作引擎等模块分析,2026-05-11
PRJ-20260511-007,deepcode-design,1,https://github.com/HKUDS/DeepCode,,DeepCode 设计文档项目，基于 HKUDS/DeepCode 多Agent代码生成框架；包含代码补全、漏洞检测、代码优化等模块分析,2026-05-11
PRJ-20260511-008,deepseek-coder-design,1,https://github.com/deepseek-ai/DeepSeek-Coder,,DeepSeek-Coder 设计文档项目，基于 deepseek-ai/DeepSeek-Coder 代码生成模型；包含模型架构、训练方法、海量数据等模块分析,2026-05-11
PRJ-20260509-001,trading-agents-design,1,https://github.com/YeLuo45/trading-agents-design,https://yeluo45.github.io/trading-agents-design,,2026-05-10
PRJ-20260509-002,trending-dashboard,0,https://github.com/YeLuo45/trending-dashboard,https://yeluo45.github.io/trending-dashboard,GitHub Trending 热点项目展示 Dashboard，React+Vite+TailwindCSS,2026-05-10
hermes-agent-design,hermes-agent-design,0,https://github.com/YeLuo45/hermes-agent-design,https://yeluo45.github.io/hermes-agent-design,Hermes Agent 架构设计文档站,
PRJ-20260419-007,ai-creator-h5,3,https://github.com/YeLuo45/ai-creator-h5,https://yeluo45.github.io/ai-creator-h5,PWA离线支持增强完成：SW v1.6.0缓存更新+全局离线状态栏+生成页离线禁用+版本更新toast；commit caccf7a，部署到 https://yeluo45.github.io/ai-creator-h5/,2026-05-08
cultivation-simulator,cultivation-simulator,1,https://github.com/YeLuo45/cultivation-simulator,https://yeluo45.github.io/cultivation-simulator,V28成就系统重制：30+成就/稀有度/赛季挑战/头像框气泡,2026-05-12
github-repo-manager,github-repo-manager,1,https://github.com/YeLuo45/github-repo-manager,https://yeluo45.github.io/github-repo-manager,commit ed43353 + ff58a2c；Vue 3 + Node.js + Electron 项目骨架；Express + SQLite 后端(修复 electron 耦合)；Electron 主进程 + 托盘；npm run dev 正常,2026-05-13
agent-记忆系统-跨-session-llm-决策记忆,agent-记忆系统-跨-session-llm-决策记忆,1,,,PRD 确认超时(2026-05-13 09:39)，按默认通过处理；Q=async event-driven（asyncio + Queue）；技术方案已输出,2026-05-13
PRJ-20260515-001,thunderbolt-design,1,https://github.com/YeLuo45/thunderbolt-design,https://yeluo45.github.io/thunderbolt-design,Mozilla Thunderbolt AI 客户端设计文档站，基于Thunderbird的跨平台AI助手；React 19 + Tauri + TypeScript；离线优先SQLite + PowerSync多设备同步；支持Claude/GPT/Mistral/OpenRouter,2026-05-15
PRJ-20260515-002,media-crawler-design,0,https://github.com/NanmiCoder/MediaCrawler,,MediaCrawler 自媒体平台爬虫设计文档站，基于 NanmiCoder/MediaCrawler；支持小红书/抖音/快手/微博/哔哩哔哩/知乎/公众号等平台；Python 爬虫 + 异步架构 + 多代理设计,2026-05-15
PRJ-20260515-003,claude-howto-design,0,https://github.com/YeLuo45/claude-howto-design,https://yeluo45.github.io/claude-howto-design,Claude How To Design 设计文档站，基于 luongnv89/claude-howto；10大模块/99+内置功能/47个模板；VitePress + GitHub Actions workflow mode；中文文档,2026-05-15
PRJ-20260514-001,deepseek-tui-design,0,https://github.com/YeLuo45/deepseek-tui-design,https://yeluo45.github.io/deepseek-tui-design,DeepSeek-TUI 设计文档站，基于 hermes-agent/DeepSeek-TUI；终端 AI 对话界面；Electron + React + TypeScript,2026-05-14
PRJ-20260514-002,openspec-design,0,https://github.com/YeLuo45/openspec-design,https://yeluo45.github.io/openspec-design,OpenSpec 设计文档站，基于 OpenSpec/OpenSpec；多智能体协作规范；VitePress + GitHub Actions workflow mode,2026-05-14
PRJ-20260514-003,ai-hedge-fund-design,0,https://github.com/YeLuo45/ai-hedge-fund-design,https://yeluo45.github.io/ai-hedge-fund-design,AI Hedge Fund 设计文档站，基于 YeLuo45/ai-hedge-fund；14+4 Agent 投资系统；LangGraph StateGraph + 4 信号引擎,2026-05-14
PRJ-20260514-004,crawl4ai-design,0,https://github.com/YeLuo45/crawl4ai-design,https://yeluo45.github.io/crawl4ai-design,Crawl4AI 设计文档站，基于 YeLuo45/crawl4ai；LLM 友好型爬虫；Playwright 浏览器自动化 + CSS/XPath 提取,2026-05-14
PRJ-20260514-005,n8n-design,0,https://github.com/YeLuo45/n8n-design,https://yeluo45.github.io/n8n-design,n8n 设计文档站，基于 n8n-io/n8n；工作流自动化平台；8个包 monorepo + LangGraph 编排,2026-05-14
PRJ-20260514-006,nanobot-design,0,https://github.com/YeLuo45/nanobot-design,https://yeluo45.github.io/nanobot-design,nanobot 设计文档站，基于 yeLuo45/nanobot；多渠道 AI 助手；Provider 抽象 + Channel 架构 + 工具注册表,2026-05-14
PRJ-20260515-004,generic-agent-design,1,https://github.com/yeluo45/generic-agent-design,/home/hermes/opensource/generic-agent-design,GenericAgent 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-005,open-space-design,1,https://github.com/yeluo45/open-space-design,/home/hermes/opensource/open-space-design,open-space 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-006,scrapling-design,1,https://github.com/yeluo45/scrapling-design,/home/hermes/opensource/scrapling-design,scrapling 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-007,claude-code-design,1,https://github.com/yeluo45/claude-code-design,/home/hermes/opensource/claude-code-design,claude-code 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-008,claudecodesrc-design,1,https://github.com/yeluo45/claudecodesrc-design,/home/hermes/opensource/claudecodesrc-design,claudecodesrc 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-009,freqtrade-develop-design,1,https://github.com/yeluo45/freqtrade-develop-design,/home/hermes/opensource/freqtrade-develop-design,freqtrade-develop 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-010,langcli-design,1,https://github.com/yeluo45/langcli-design,/home/hermes/opensource/langcli-design,langcli 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-011,ohmypi-design,1,https://github.com/yeluo45/ohmypi-design,/home/hermes/opensource/ohmypi-design,ohmypi 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-012,opencode-dev-design,1,https://github.com/yeluo45/opencode-dev-design,/home/hermes/opensource/opencode-dev-design,opencode-dev 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260515-013,ruflo-design,1,https://github.com/yeluo45/ruflo-design,/home/hermes/opensource/ruflo-design,ruflo 开源代码的 VitePress 设计文档站点,2026-05-15
