id,name,proposal_count,git_repo,local_path,prj_url,description,last_update
PRJ-20260419-002,tank-battle,1,https://github.com/YeLuo45/tank-battle,/home/hermes/.hermes/proposals/workspace-dev/proposals/tank-battle,https://yeluo45.github.io/tank-battle/,坦克大战；13x13网格；WASD/方向键移动+空格射击；4种地形(砖块/钢铁/草丛/河流)；AI巡逻+追击；保护老鹰基地；3分钟倒计时,2026-04-19
PRJ-20260419-003,dont-step-white,13,https://github.com/YeLuo45/dont-step-white,/home/hermes/.hermes/proposals/workspace-dev/proposals/dont-step-white,https://yeluo45.github.io/dont-step-white/,4维度排行榜(全球/本地/好友/关卡)；Tab切换；预置模拟玩家+本地插入；好友码系统；关卡挑战榜(剧情30关+每日挑战)；Top3奖牌图标+我的排名金色高亮,2026-05-04
PRJ-20260419-005,TradingAgents-CN,2,https://github.com/YeLuo45/TradingAgents-CN,/home/hermes/.hermes/proposals/workspace-dev/proposals/TradingAgents-CN,https://yeluo45.github.io/TradingAgents-CN/,AI 量化交易代理系统；Python 3.10+；混合许可证（Apache 2.0 开源 + 专有前端后端需商业授权）；包含 FastAPI 后端 + Vue 前端 + Docker 部署；基于 TauricResearch/TradingAgents,2026-02-15
PRJ-20260419-007,ai-creator-h5,3,https://github.com/YeLuo45/ai-creator-h5,/home/hermes/.hermes/proposals/workspace-dev/proposals/ai-creator-h5,https://yeluo45.github.io/ai-creator-h5/,PWA离线支持增强完成：SW v1.6.0缓存更新+全局离线状态栏+生成页离线禁用+版本更新toast；commit caccf7a，部署到 https://yeluo45.github.io/ai-creator-h5/,2026-04-18
PRJ-20260420-001,snake-battle,4,https://github.com/YeLuo45/snake-battle,/home/hermes/.hermes/proposals/workspace-dev/proposals/snake-battle,https://yeluo45.github.io/snake-battle/,M1成就系统(100+成就/4分类/解锁称号头像框)+M2赛季通行证(30天/50级/免费付费区分)+M3每日挑战(每天3个随机/00:00刷新)+继承V1-V3全部功能；dev于2026-05-03交付；M1: AchievementPanel+useAchievements+achievements.js(123成就)；M2: SeasonPassPanel+useSeasonPass+seasonPass.js；M3: DailyChallengePanel+useDailyChallenge+challenges.js(23类型),2026-04-19
PRJ-20260420-002,pixel-pal-web,4,https://github.com/YeLuo45/pixel-pal-web,/home/hermes/.hermes/proposals/workspace-dev/proposals/pixel-pal-web,https://yeluo45.github.io/pixel-pal-web/,"V64 agentExecutor: LLM任务分解+步骤执行+回调；AgentPanel绑定executor；TaskQueue IndexedDB持久化恢复；Sidebar导航已接入；build ✓, master已push ✓",2026-05-04
PRJ-20260421-001,card-game-prototype,30,https://github.com/YeLuo45/card-game-prototype,/home/hermes/.hermes/proposals/workspace-dev/proposals/card-game-prototype,https://yeluo45.github.io/card-game-prototype/,卡牌等级升级(Lv1-Lv5倍率：1.15/1.30/1.50/1.75x)+星级升级(1-3星解锁效果)；⚡强化按钮入口；等级费用(2/3/5/8张同名卡)；星级费用(3/5张同名卡)；UI显示星级符号(★☆)和等级(Lv.N)；边框颜色按等级变化；升级数据持久化到localStorage,2026-04-29
PRJ-20260421-003,personalClaw,1,https://github.com/YeLuo45/personalClaw,/home/hermes/.hermes/proposals/workspace-dev/proposals/personalClaw,https://yeluo45.github.io/personalClaw/,OpenClaw PC控制平台；Electron + React 18 + Ant Design + node-cron；桌面管理功能,2026-04-13
PRJ-20260422-001,ai-novel-assistant,6,https://github.com/YeLuo45/ai-novel-assistant,/home/hermes/.hermes/proposals/workspace-dev/proposals/ai-novel-assistant,https://yeluo45.github.io/ai-novel-assistant/,M1章节版本历史(chapterVersions表+版本列表+diff对比+恢复) + M2敏感词检测(5类敏感词+高亮标记+替换建议),2026-05-15
PRJ-20260423-001,room-escape-puzzle,1,https://github.com/YeLuo45/room-escape-puzzle,/home/hermes/.hermes/proposals/workspace-dev/proposals/room-escape-puzzle,https://yeluo45.github.io/room-escape-puzzle/,解谜游戏原型验证,2026-04-29
PRJ-20260423-002,little-garden,1,https://github.com/YeLuo45/little-garden,/home/hermes/.hermes/proposals/workspace-dev/proposals/little-garden,https://yeluo45.github.io/little-garden/,育儿游戏（3-12岁）；养成照顾类（宠物+种植）；纯HTML5/JS；完整GDD + 可运行游戏,2026-04-23
PRJ-20260423-005,hermes-agent-collab,3,https://github.com/YeLuo45/hermes-agent-collab,/home/hermes/.hermes/proposals/workspace-dev/proposals/hermes-agent-collab,https://yeluo45.github.io/hermes-agent-collab/,Phase 1-4 全部功能已验收通过。Phase 4 UI（任务Agent选择/对话UI/工作区CRUD/技能编辑）已部署 gh-pages: https://yeluo45.github.io/hermes-agent-collab/。注：Web UI 为纯静态前端，需后端 `collab server` 启动才能完整使用。,2026-04-24
PRJ-20260424-001,OpenMAIC,1,https://github.com/YeLuo45/OpenMAIC,/home/hermes/.hermes/proposals/workspace-dev/proposals/OpenMAIC,https://yeluo45.github.io/OpenMAIC/,Open Multi-Agent Interactive Classroom — 开放式多智能体交互课堂；forked from THU-MAIC/OpenMAIC (16311 stars)；pnpm + Next.js 16；需配置 LLM API Key 使用,2026-04-20
PRJ-20260424-004,match3-puzzle,1,https://github.com/YeLuo45/match3-puzzle,/home/hermes/.hermes/proposals/workspace-dev/proposals/match3-puzzle,https://yeluo45.github.io/match3-puzzle/,休闲益智三消游戏原型,2026-04-22
PRJ-20260426-003,calculator-app,1,https://github.com/YeLuo45/calculator-app,/home/hermes/.hermes/proposals/workspace-dev/proposals/calculator-app,https://yeluo45.github.io/calculator-app/,面向大众市场 APK；功能：科学计算 + 单位转换 + 汇率换算（Web 已交付，APK 因 NDK 损坏阻塞）,2026-04-27
PRJ-20260427-001,preschool-puzzle,2,https://github.com/YeLuo45/preschool-puzzle,/home/hermes/.hermes/proposals/workspace-dev/proposals/preschool-puzzle,https://yeluo45.github.io/preschool-puzzle/,幼儿益智解谜游戏,2026-04-28
PRJ-20260428-001,whack-a-mole-3d,6,https://github.com/YeLuo45/whack-a-mole-3d,/home/hermes/.hermes/proposals/workspace-dev/proposals/whack-a-mole-3d,https://yeluo45.github.io/whack-a-mole-3d/,Web Audio API合成音效+震动反馈+音效开关；技术方案联合P-003/P-004；已验收通过（README.md记录）。AudioManager（10种Web Audio API合成音效）+ Navigator.vibrate + 音效开关 + 音效调用链路（beat/miss/click/levelup）已全部接入。,2026-05-15
PRJ-20260428-002,flight-chess-3d,8,https://github.com/YeLuo45/flight-chess-3d,/home/hermes/.hermes/proposals/workspace-dev/proposals/flight-chess-3d,https://yeluo45.github.io/flight-chess-3d/,AI三种难度（Easy随机/Medium策略/Hard最优）；自动投骰+选子；可选纯AI对战或混合模式；原人类模式不受影响；已实现难度选择UI和AI Thinking动画,2026-05-04
PRJ-20260430-001,tower-baby-guard,1,https://github.com/YeLuo45/tower-baby-guard,/home/hermes/.hermes/proposals/workspace-dev/proposals/tower-baby-guard,https://yeluo45.github.io/tower-baby-guard/,育儿主题塔防；5种防御塔(Mom/Dad/Grandma/Doctor/Chef)+4种敌人(Tantrum/Bedtime/Veggie/ScreenTime)+10波次；Godot 4 HTML5导出,2026-05-05
PRJ-20260430-002,doc-editor,1,https://github.com/YeLuo45/doc-editor,/home/hermes/.hermes/proposals/workspace-dev/proposals/doc-editor,https://yeluo45.github.io/doc-editor/,顶部搜索框实时搜索文档标题和内容(300ms防抖)，显示标题+内容片段+文件夹，最多10条结果，点击跳转,2026-05-15
PRJ-20260509-001,trading-agents-design,1,https://github.com/YeLuo45/trading-agents-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/trading-agents-design,https://yeluo45.github.io/trading-agents-design/,> TradingAgents-CN 完整设计规范文档,2026-05-13
PRJ-20260509-002,trending-dashboard,0,https://github.com/YeLuo45/trending-dashboard,/home/hermes/.hermes/proposals/workspace-dev/proposals/trending-dashboard,https://yeluo45.github.io/trending-dashboard/,GitHub Trending 热点项目展示 Dashboard，React+Vite+TailwindCSS,2026-05-16
PRJ-20260511-003,astrbot-design,1,https://github.com/YeLuo45/AstrBot,/home/hermes/.hermes/proposals/workspace-dev/proposals/astrbot-design,https://yeluo45.github.io/AstrBot/,AstrBot 设计文档项目，基于 Sonic-Yoda/AstrBot 多功能机器人框架；包含LLM集成、插件系统、任务调度等模块分析,2026-05-13
PRJ-20260511-004,autoagent-design,1,https://github.com/YeLuo45/AutoAgent,/home/hermes/.hermes/proposals/workspace-dev/proposals/AutoAgent,https://yeluo45.github.io/AutoAgent/,AutoAgent 设计文档项目，基于 SINOG2/AutoAgent 自动Agent框架；包含规划引擎、工具调用、多Agent协作等模块分析,
PRJ-20260511-005,bmad-method-design,1,https://github.com/YeLuo45/BMAD-METHOD,/home/hermes/.hermes/proposals/workspace-dev/proposals/BMAD-METHOD,https://yeluo45.github.io/BMAD-METHOD/,BMAD-METHOD 设计文档项目，基于 BMAD/BMAD-METHOD AI学习框架；包含主动学习、人机协作、模型优化等模块分析,
PRJ-20260511-006,chatdev-design,1,https://github.com/YeLuo45/ChatDev,/home/hermes/.hermes/proposals/workspace-dev/proposals/ChatDev,https://yeluo45.github.io/ChatDev/,ChatDev 设计文档项目，基于 OpenBMB/ChatDev 虚拟软件公司框架；包含多Agent角色、流程管理、协作引擎等模块分析,
PRJ-20260511-007,deepcode-design,1,https://github.com/YeLuo45/DeepCode,/home/hermes/.hermes/proposals/workspace-dev/proposals/DeepCode,https://yeluo45.github.io/DeepCode/,DeepCode 设计文档项目，基于 HKUDS/DeepCode 多Agent代码生成框架；包含代码补全、漏洞检测、代码优化等模块分析,
PRJ-20260511-008,deepseek-coder-design,1,https://github.com/YeLuo45/DeepSeek-Coder,/home/hermes/.hermes/proposals/workspace-dev/proposals/DeepSeek-Coder,https://yeluo45.github.io/DeepSeek-Coder/,DeepSeek-Coder 设计文档项目，基于 deepseek-ai/DeepSeek-Coder 代码生成模型；包含模型架构、训练方法、海量数据等模块分析,
PRJ-20260514-001,deepseek-tui-design,0,https://github.com/YeLuo45/deepseek-tui-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/deepseek-tui-design,https://yeluo45.github.io/deepseek-tui-design/,DeepSeek-TUI 设计文档站，基于 hermes-agent/DeepSeek-TUI；终端 AI 对话界面；Electron + React + TypeScript,2026-05-14
PRJ-20260514-002,openspec-design,0,https://github.com/YeLuo45/openspec-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/openspec-design,https://yeluo45.github.io/openspec-design/,OpenSpec 设计文档站，基于 OpenSpec/OpenSpec；多智能体协作规范；VitePress + GitHub Actions workflow mode,2026-05-14
PRJ-20260514-003,ai-hedge-fund-design,0,https://github.com/YeLuo45/ai-hedge-fund-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/ai-hedge-fund-design,https://yeluo45.github.io/ai-hedge-fund-design/,AI Hedge Fund 设计文档站，基于 YeLuo45/ai-hedge-fund；14+4 Agent 投资系统；LangGraph StateGraph + 4 信号引擎,2026-05-14
PRJ-20260514-004,crawl4ai-design,0,https://github.com/YeLuo45/crawl4ai-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/crawl4ai-design,https://yeluo45.github.io/crawl4ai-design/,Crawl4AI 设计文档站，基于 YeLuo45/crawl4ai；LLM 友好型爬虫；Playwright 浏览器自动化 + CSS/XPath 提取,2026-05-14
PRJ-20260514-005,n8n-design,0,https://github.com/YeLuo45/n8n-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/n8n-design,https://yeluo45.github.io/n8n-design/,n8n 设计文档站，基于 n8n-io/n8n；工作流自动化平台；8个包 monorepo + LangGraph 编排,2026-05-14
PRJ-20260514-006,nanobot-design,0,https://github.com/YeLuo45/nanobot-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/nanobot-design,https://yeluo45.github.io/nanobot-design/,nanobot 设计文档站，基于 yeLuo45/nanobot；多渠道 AI 助手；Provider 抽象 + Channel 架构 + 工具注册表,2026-05-14
PRJ-20260515-001,thunderbolt-design,0,https://github.com/YeLuo45/thunderbolt-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/thunderbolt-design,https://yeluo45.github.io/thunderbolt-design/,Mozilla Thunderbolt AI 客户端设计文档站，基于Thunderbird的跨平台AI助手；React 19 + Tauri + TypeScript；离线优先SQLite + PowerSync多设备同步；支持Claude/GPT/Mistral/OpenRouter,2026-05-14
PRJ-20260515-002,media-crawler-design,0,https://github.com/YeLuo45/MediaCrawler,/home/hermes/.hermes/proposals/workspace-dev/proposals/MediaCrawler,https://yeluo45.github.io/MediaCrawler/,MediaCrawler 自媒体平台爬虫设计文档站，基于 NanmiCoder/MediaCrawler；支持小红书/抖音/快手/微博/哔哩哔哩/知乎/公众号等平台；Python 爬虫 + 异步架构 + 多代理设计,
PRJ-20260515-003,claude-howto-design,0,https://github.com/YeLuo45/claude-howto-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/claude-howto-design,https://yeluo45.github.io/claude-howto-design/,Claude How To Design 设计文档站，基于 luongnv89/claude-howto；10大模块/99+内置功能/47个模板；VitePress + GitHub Actions workflow mode；中文文档,2026-05-14
PRJ-20260515-004,generic-agent-design,0,https://github.com/YeLuo45/generic-agent-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/generic-agent-design,https://yeluo45.github.io/generic-agent-design/,GenericAgent 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-005,open-space-design,0,https://github.com/YeLuo45/open-space-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/open-space-design,https://yeluo45.github.io/open-space-design/,open-space 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-006,scrapling-design,0,https://github.com/YeLuo45/scrapling-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/scrapling-design,https://yeluo45.github.io/scrapling-design/,scrapling 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-007,claude-code-design,0,https://github.com/YeLuo45/claude-code-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/claude-code-design,https://yeluo45.github.io/claude-code-design/,claude-code 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-008,claudecodesrc-design,0,https://github.com/YeLuo45/claudecodesrc-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/claudecodesrc-design,https://yeluo45.github.io/claudecodesrc-design/,claudecodesrc 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-009,freqtrade-develop-design,0,https://github.com/YeLuo45/freqtrade-develop-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/freqtrade-develop-design,https://yeluo45.github.io/freqtrade-develop-design/,freqtrade-develop 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-010,langcli-design,0,https://github.com/YeLuo45/langcli-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/langcli-design,https://yeluo45.github.io/langcli-design/,langcli 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-011,ohmypi-design,0,https://github.com/YeLuo45/ohmypi-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/ohmypi-design,https://yeluo45.github.io/ohmypi-design/,ohmypi 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-012,opencode-dev-design,0,https://github.com/YeLuo45/opencode-dev-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/opencode-dev-design,https://yeluo45.github.io/opencode-dev-design/,opencode-dev 开源代码的 VitePress 设计文档站点,2026-05-14
PRJ-20260515-013,ruflo-design,0,https://github.com/YeLuo45/ruflo-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/ruflo-design,https://yeluo45.github.io/ruflo-design/,ruflo 开源代码的 VitePress 设计文档站点,2026-05-15
PRJ-20260516-001,hermes-agent-design,0,https://github.com/YeLuo45/hermes-agent-design,/home/hermes/.hermes/proposals/workspace-dev/proposals/hermes-agent-design,https://yeluo45.github.io/hermes-agent-design/,Hermes Agent 架构设计文档站,2026-05-13
PRJ-20260516-002,cultivation-simulator,1,https://github.com/YeLuo45/cultivation-simulator,/home/hermes/.hermes/proposals/workspace-dev/proposals/cultivation-simulator,https://yeluo45.github.io/cultivation-simulator/,V28成就系统重制：30+成就/稀有度/赛季挑战/头像框气泡,2026-05-13
PRJ-20260516-003,github-repo-manager,1,https://github.com/YeLuo45/github-repo-manager,/home/hermes/.hermes/proposals/workspace-dev/proposals/github-repo-manager,https://yeluo45.github.io/github-repo-manager/,commit ed43353 + ff58a2c；Vue 3 + Node.js + Electron 项目骨架；Express + SQLite 后端(修复 electron 耦合)；Electron 主进程 + 托盘；npm run dev 正常,2026-05-16
PRJ-20260516-014,ai-creator-miniprogram,0,https://github.com/YeLuo45/ai-creator-miniprogram,/home/hermes/.hermes/proposals/workspace-dev/proposals/ai-creator-miniprogram,https://yeluo45.github.io/ai-creator-miniprogram/,微信小程序项目,2026-04-18
PRJ-20260516-015,amblyopia-training,0,https://github.com/YeLuo45/amblyopia-training,/home/hermes/.hermes/proposals/workspace-dev/proposals/amblyopia-training,https://yeluo45.github.io/amblyopia-training/,弱视训练项目,2026-04-18
PRJ-20260516-016,animal-forest,0,https://github.com/YeLuo45/animal-forest,/home/hermes/.hermes/proposals/workspace-dev/proposals/animal-forest,https://yeluo45.github.io/animal-forest/,动物森林项目,2026-05-04
PRJ-20260516-017,ash-echoes,0,https://github.com/YeLuo45/ash-echoes,/home/hermes/.hermes/proposals/workspace-dev/proposals/ash-echoes,https://yeluo45.github.io/ash-echoes/,Ash Echoes 项目,2026-05-05
PRJ-20260516-018,soulshooter,0,https://github.com/YeLuo45/soulshooter,/home/hermes/.hermes/proposals/workspace-dev/proposals/soulshooter,https://yeluo45.github.io/soulshooter/,灵魂射手项目,2026-04-22
PRJ-20260516-019,super-mario-3d,0,https://github.com/YeLuo45/super-mario-3d,/home/hermes/.hermes/proposals/workspace-dev/proposals/super-mario-3d,https://yeluo45.github.io/super-mario-3d/,超级马里奥3D项目,2026-05-01
PRJ-20260516-020,whack-a-mole-3d-git,0,https://github.com/YeLuo45/whack-a-mole-3d,/home/hermes/.hermes/proposals/workspace-dev/proposals/whack-a-mole-3d-git,https://yeluo45.github.io/whack-a-mole-3d/,打地鼠3D git版本,2026-04-29
